0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
53	93
53	87
52	82
52	75
52	70
52	67
52	65
52	64
52	59
52	56
53	53
54	47
54	44
54	41
54	39
54	37
54	34
54	31
51	23
46	18
40	15
32	12
26	10
19	9
17	9
15	9
12	10
11	13
10	19
9	25
8	33
7	44
6	50
6	56
6	59
6	60
6	63
6	64
7	67
11	70
17	72
27	74
33	74
40	73
43	72
46	71
50	68
53	65
59	59
63	53
65	48
67	42
67	41
67	39
67	38
67	37
61	33
52	31
41	31
30	33
26	34
21	36
19	38
17	40
16	45
15	49
15	59
16	66
19	72
25	79
28	81
35	82
40	81
43	79
47	76
48	75
49	74
49	73
49	70
45	63
37	56
27	48
22	45
21	44
20	43
20	43
20	43
20	43
20	43
20	43
25	43
32	45
38	47
40	47
42	47
42	47
43	47
43	47
